"lsoa","area","chronic.condition.rate","long.term.illness.rate","income.deprivation","public.travel.sec.school","public.travel.prim.school","adults.no.qualifications.percent","urban"
"Chirk South ","Wrexham ",14.4,19.3,15,67,26,19.3,0
"Coedpoeth 1 ","Wrexham ",14.6,25.1,24,58,20,29.1,0
"Coedpoeth 2 ","Wrexham ",13.2,22.4,13,58,22,18.5,0
"Coedpoeth 3 ","Wrexham ",12.9,20.5,11,70,24,14.7,0
"Erddig ","Wrexham ",12.3,17.3,10,24,26,13.2,0
"Esclusham 1 ","Wrexham ",16.4,25.2,15,41,20,26.9,0
"Esclusham 2 ","Wrexham ",13.7,18,6,43,28,15.8,0
"Garden Village ","Wrexham ",10.8,15.9,4,50,21,9.1,0
"Gresford East and West 1 ","Wrexham ",12.7,16.3,9,46,22,13.8,0
"Gresford East and West 2 ","Wrexham ",11,18.9,6,50,28,11.4,0
"Grosvenor 1 ","Wrexham ",15.3,19.2,15,39,21,11.3,0
"Grosvenor 2 ","Wrexham ",19.2,24,21,38,27,20.3,0
"Gwenfro ","Wrexham ",17.2,27.5,24,50,24,30.9,0
"Gwersyllt East and South 1 ","Wrexham ",18.8,24.4,17,29,22,22.1,0
"Gwersyllt East and South 2 ","Wrexham ",12.1,18.1,8,39,27,14.3,0
"Gwersyllt East and South 3 ","Wrexham ",14.1,18.8,8,31,24,20.9,0
"Gwersyllt North 1 ","Wrexham ",13.9,21.1,10,31,30,18,0
"Gwersyllt North 2 ","Wrexham ",18.9,28,26,23,23,30.9,0
"Gwersyllt West 1 ","Wrexham ",18.1,27.8,24,27,24,29.7,0
"Gwersyllt West 2 ","Wrexham ",16,26.2,10,32,30,13,0
"Hermitage 1 ","Wrexham ",18.6,24.4,20,25,27,22,0
"Hermitage 2 ","Wrexham ",16,28.5,27,34,22,24.8,0
"Holt 1 ","Wrexham ",11.4,15.9,6,75,54,11,0
"Holt 2 ","Wrexham ",7.6,16,8,45,20,12.1,0
"Johnstown 1 ","Wrexham ",13.1,18.8,6,39,23,12.6,0
"Johnstown 2 ","Wrexham ",18.6,27.6,19,39,21,27,0
"Little Acton 1 ","Wrexham ",11.7,17.1,4,60,27,9.2,0
"Little Acton 2 ","Wrexham ",12.6,17.7,10,52,23,13.9,0
"Llangollen Rural ","Wrexham ",12.6,19.1,10,56,24,12.9,0
"Llay 1 ","Wrexham ",16.1,18.2,9,74,35,15.2,0
"Llay 2 ","Wrexham ",15.9,21.1,9,51,29,21.4,0
"Llay 3 ","Wrexham ",20.7,27.3,24,50,28,33.9,0
"Maesydre ","Wrexham ",15.7,21.4,16,32,27,22.1,0
"Marchwiel 1 ","Wrexham ",11.3,16.5,4,161,119,9.4,0
"Marchwiel 2 ","Wrexham ",16.2,19.3,12,130,22,15.5,0
"Marford and Hoseley 1 ","Wrexham ",10.8,13,4,46,21,5.5,0
"Marford and Hoseley 2 ","Wrexham ",10.7,11.1,2,56,32,6.3,0
"Minera 1 ","Wrexham ",14,22,10,99,51,18.7,0
"Minera 2 ","Wrexham ",10.6,16.6,5,137,49,7.8,0
"New Broughton 1 ","Wrexham ",17.6,22.4,17,49,24,19.4,0
"New Broughton 2 ","Wrexham ",15.6,24.4,20,54,21,21.5,0
"Offa ","Wrexham ",15.1,20.3,15,26,21,19.5,0
"Overton 1 ","Wrexham ",10.8,15.7,6,124,108,12.1,0
"Overton 2 ","Wrexham ",11.8,17.3,9,111,49,11.4,0
"Pant ","Wrexham ",16.5,24.3,25,34,27,26.1,0
"Penycae ","Wrexham ",16.4,26.8,25,39,25,27.9,0
"Penycae and Ruabon South 1 ","Wrexham ",11.2,16.6,5,71,64,11.1,0
"Penycae and Ruabon South 2 ","Wrexham ",14.4,24.9,18,50,35,19.9,0
"Plas Madoc ","Wrexham ",16.7,32.2,39,40,21,38.2,0
"Ponciau 1 ","Wrexham ",14.6,21.9,14,32,28,13.5,0
"Ponciau 2 ","Wrexham ",15.5,26.7,22,26,22,27.3,0
"Ponciau 3 ","Wrexham ",14.1,24.8,13,43,35,16.5,0
"Queensway 1 ","Wrexham ",20.2,32.9,47,38,20,49.2,0
"Queensway 2 ","Wrexham ",20.7,26.6,39,31,20,39.9,0
"Rhosnesni 1 ","Wrexham ",12.5,19.8,10,25,26,17.6,0
"Rhosnesni 2 ","Wrexham ",10.9,13.7,4,30,24,10.7,0
"Rossett 1 ","Wrexham ",11.4,14.1,3,46,46,7,0
"Rossett 2 ","Wrexham ",11.9,15.9,9,84,93,10.3,0
"Ruabon 1 ","Wrexham ",16.1,24.8,19,51,31,22.3,0
"Ruabon 2 ","Wrexham ",13.9,23.5,13,34,21,21.1,0
"Stansty ","Wrexham ",14.1,21.4,11,41,20,19.8,0
"Whitegate 1 ","Wrexham ",16.2,23,18,43,27,24.4,0
"Whitegate 2 ","Wrexham ",14.9,21.4,13,37,29,24.7,0
"Wynnstay ","Wrexham ",20.6,34,38,29,26,48.2,0
"Smithfield 2 ","Wrexham ",14.9,23.9,17,38,30,28.4,0
"Ceiriog Valley 3 ","Wrexham ",10.5,19,10,128,45,14.2,0
"Smithfield 3 ","Wrexham ",18.8,25.2,25,32,24,31.3,0
"Aber-craf ","Powys ",16.1,26.1,13,41,23,16.7,0
"Beguildy ","Powys ",13.8,17.7,11,152,135,20.3,0
"Berriew ","Powys ",11.3,17.4,7,153,111,16.6,0
"Blaen Hafren ","Powys ",9.7,15.4,7,161,138,13.3,0
"Bronllys ","Powys ",9.3,19.2,7,94,78,13.1,0
"Builth 1 ","Powys ",11.8,19.1,13,138,61,16.9,0
"Builth 2 ","Powys ",11.4,16.4,8,72,29,10.5,0
"Caersws ","Powys ",11.3,19.2,10,136,66,16.5,0
"Churchstoke ","Powys ",14.3,19.9,8,151,72,16.1,0
"Disserth and Trecoed ","Powys ",16,20.7,15,123,134,26.7,0
"Dolforwyn ","Powys ",11.5,17.9,6,138,90,12,0
"Felin-f�ch ","Powys ",8.5,14.4,5,142,133,12.1,0
"Forden ","Powys ",13.2,15.3,5,137,71,8.8,0
"Glantwymyn ","Powys ",13.6,18.1,9,131,128,10.2,0
"Glasbury ","Powys ",8.9,15,6,130,125,12.5,0
"Guilsfield ","Powys ",11,16,6,115,53,11.1,0
"Gwernyfed ","Powys ",9.6,16.8,7,136,139,14.2,0
"Hay ","Powys ",11.7,17.8,10,69,24,16.8,0
"Kerry ","Powys ",10.5,16.1,8,130,64,14.4,0
"Knighton 1 ","Powys ",14.1,16.6,13,145,46,20.4,0
"Knighton 2 ","Powys ",14.3,18.5,9,144,28,16.4,0
"Llanafanfawr ","Powys ",11.4,14.3,5,150,159,11.7,0
"Llanbadarn Fawr ","Powys ",14.4,16.3,10,157,137,18.3,0
"Llanbrynmair & Banwy ","Powys ",14.6,20.1,10,175,119,17.2,0
"Llandinam ","Powys ",9.3,16.5,6,163,134,15.9,0
"Llandrindod East/Llandrindod West ","Powys ",14.8,24.4,24,30,27,20.5,0
"Llandrindod North ","Powys ",17.2,21.1,20,35,25,17.3,0
"Llandrindod South ","Powys ",14.8,20.5,15,96,63,12.9,0
"Llandrinio ","Powys ",12.7,15.4,6,139,76,11.6,0
"Llandysilio ","Powys ",12.8,19.4,8,124,50,12.1,0
"Llanelwedd ","Powys ",10.2,16.3,9,165,145,17.1,0
"Llanfair Caereinion ","Powys ",13,17.7,10,92,123,14.3,0
"Llanfyllin ","Powys ",13.7,19.1,14,62,58,18.8,0
"Llangunllo ","Powys ",11.5,14.8,9,170,135,15.6,0
"Llangynidr ","Powys ",10.5,15.6,5,143,57,8.1,0
"Llanidloes 1 ","Powys ",11.1,18.7,12,39,28,18.7,0
"Llanidloes 2 ","Powys ",11.9,18.7,11,76,47,13.4,0
"Llansantffraid ","Powys ",13.2,18.3,9,147,64,14.4,0
"Llanwrtyd Wells ","Powys ",10.5,17.9,10,145,97,17.8,0
"Llanyre ","Powys ",13.1,18.8,7,72,43,10.8,0
"Machynlleth ","Powys ",15.6,21.7,13,36,28,18.7,0
"Maescar/Llywel ","Powys ",12.2,18.8,7,142,125,12.5,0
"Meifod & Llanfihangel ","Powys ",11,17.3,9,165,127,14.8,0
"Montgomery ","Powys ",14.3,15.4,7,114,28,14.1,0
"Nantmel ","Powys ",13.2,16.1,10,175,172,17.5,0
"Newtown Central 1 ","Powys ",17.9,27.8,25,44,33,23.8,0
"Newtown Central 2 ","Powys ",17.1,24.2,23,41,27,23.7,0
"Newtown East ","Powys ",16.1,22.7,20,38,28,21.1,0
"Newtown Llanllwchaiarn North ","Powys ",13.2,18,8,85,39,12.7,0
"Newtown Llanllwchaiarn West ","Powys ",11.7,16.8,9,75,31,13.7,0
"Newtown South ","Powys ",18.3,27.3,26,27,21,33.6,0
"Old Radnor ","Powys ",10.5,14.8,8,161,128,13.7,0
"Presteigne 1 ","Powys ",15.6,17.1,9,73,62,14.7,0
"Presteigne 2 ","Powys ",16.1,17.9,12,28,52,19.6,0
"Rhayader ","Powys ",13.5,20,13,82,48,18.5,0
"Rhiwcynon ","Powys ",12.3,16.3,7,163,124,14.2,0
"St. David Within ","Powys ",14.3,21.4,12,41,26,17.7,0
"St. Mary 1 ","Powys ",12.4,18.3,11,31,23,12.7,0
"St. Mary 2 ","Powys ",10.1,15.7,5,53,41,11.6,0
"Talgarth ","Powys ",12.3,19.4,9,93,68,15.9,0
"Tawe-Uchaf ","Powys ",16.5,23.1,14,95,48,17.9,0
"Trewern ","Powys ",11.6,16.8,7,123,91,16.7,0
"Welshpool Castle ","Powys ",16.3,23.7,27,79,35,30.1,0
"Welshpool Gungrog 1 ","Powys ",16.8,20.3,19,26,31,26.5,0
"Welshpool Gungrog 2 ","Powys ",13.6,18.3,13,51,60,20.1,0
"Welshpool Llanerchyddol ","Powys ",11.3,20.6,12,40,29,20.4,0
"Ynyscedwyn ","Powys ",14.6,26.8,12,27,26,18,0
"Yscir ","Powys ",8.4,16,7,172,137,9.4,0
"Ystradgynlais 1 ","Powys ",21.1,33.7,31,33,26,33.5,0
"Ystradgynlais 2 ","Powys ",16.1,27,14,57,52,19.6,0
"Talybont-on-Usk ","Powys ",10.7,17.4,7,127,113,10.4,0
"Cwm-twrch ","Powys ",16.4,27,15,52,29,24.2,0
"St. John 1 ","Powys ",11.3,16.9,8,109,23,13.9,0
"St. John 2 ","Powys ",17.5,24.2,20,119,29,24.4,0
"Crickhowell ","Powys ",10.8,17.3,8,102,39,10.6,0
"Llangattock and Glangrwyney ","Powys ",8.5,16.6,5,159,70,10.9,0
"Llangors, Bwlch & Grwyney ","Powys ",10.8,16.3,5,172,134,10.7,0
"Llanrhaeadr-ym-Mochnant ","Powys ",12.5,15.6,9,180,98,14.6,0
"Llansilin ","Powys ",8.6,15.2,8,177,120,11.3,0
"Aberaeron ","Ceredigion ",13,19.1,14,26,29,15,0
"Aberporth 1 ","Ceredigion ",10.4,20,8,102,65,13.4,0
"Aberporth 2 ","Ceredigion ",12,23.1,18,60,31,19.6,0
"Aberteifi/Cardigan - Mwldan ","Ceredigion ",14.7,21.1,17,38,48,19.1,0
"Aberteifi/Cardigan - Rhyd-y-Fuwch ","Ceredigion ",15.6,26,25,25,24,23,0
"Aberteifi/Cardigan - Teifi ","Ceredigion ",14.5,29.7,37,51,31,23.7,0
"Aberystwyth Bronglais ","Ceredigion ",13.3,17.1,5,28,20,5.2,0
"Aberystwyth Canol/Central ","Ceredigion ",13.5,19.6,7,32,28,9.3,0
"Aberystwyth Penparcau 1 ","Ceredigion ",15.1,25.5,21,52,23,20.1,0
"Aberystwyth Penparcau 2 ","Ceredigion ",18.2,25.4,21,54,22,20.3,0
"Aberystwyth Rheidol 1 ","Ceredigion ",12.1,20.5,8,35,30,7.7,0
"Aberystwyth Rheidol 2 ","Ceredigion ",13.7,19.3,13,41,30,15,0
"Beulah ","Ceredigion ",12.8,18.7,11,155,99,13,0
"Capel Dewi ","Ceredigion ",12.6,21,11,172,166,15.8,0
"Ceulanamaesmawr ","Ceredigion ",10.6,17.3,9,79,64,8.8,0
"Ciliau Aeron ","Ceredigion ",12.6,20.6,12,110,68,14.4,0
"Faenor 1 ","Ceredigion ",11.3,15.8,3,32,29,5.3,0
"Lampeter 1 ","Ceredigion ",10.3,20.5,8,24,23,12.8,0
"Lampeter 2 ","Ceredigion ",13,21.4,15,50,40,19.3,0
"Llanarth ","Ceredigion ",11.2,19.4,17,116,99,20.2,0
"Llandyfriog ","Ceredigion ",12.9,21.9,16,114,75,16.1,0
"Llandysiliogogo ","Ceredigion ",11.2,18.5,9,133,89,17.6,0
"Llandysul Town ","Ceredigion ",11.2,23.8,18,112,66,19.4,0
"Llanfarian ","Ceredigion ",13.5,17.3,8,96,77,8.4,0
"Llanfihangel Ystrad ","Ceredigion ",14.4,20.9,13,104,76,17.8,0
"Llangeitho ","Ceredigion ",11.8,19.2,14,136,119,16.8,0
"Llangybi ","Ceredigion ",11.1,19.1,15,139,128,14.2,0
"Llanrhystyd ","Ceredigion ",13.5,18.6,8,136,104,14.1,0
"Llansantffraed 1 ","Ceredigion ",14.6,20.1,10,168,159,15.2,0
"Llansantffraed 2 ","Ceredigion ",14.9,21.3,13,81,53,13.6,0
"Llanwenog ","Ceredigion ",12.4,20.1,11,136,109,18.1,0
"Lledrod ","Ceredigion ",14,20.2,11,141,103,15.4,0
"Melindwr ","Ceredigion ",11.9,18.7,11,122,78,11.5,0
"New Quay ","Ceredigion ",10.2,19,16,62,24,15.7,0
"Penbryn ","Ceredigion ",9.8,19.1,9,150,138,13.5,0
"Pen-parc 1 ","Ceredigion ",11.6,23.3,16,56,39,17.3,0
"Pen-parc 2 ","Ceredigion ",9.8,19.9,12,104,118,12,0
"Tirymynach ","Ceredigion ",14.8,20.2,12,74,61,10.6,0
"Trefeurig ","Ceredigion ",11.9,17.5,6,72,47,7.9,0
"Tregaron ","Ceredigion ",13.1,19.2,14,48,52,21.6,0
"Troedyraur ","Ceredigion ",12.2,20.9,13,154,124,14.3,0
"Ystwyth ","Ceredigion ",13.8,17.4,8,109,67,12.7,0
"Penglais ","Ceredigion ",13,19.6,6,34,32,7.8,0
"Llanbadarn Fawr South ","Ceredigion ",11.5,19.6,8,42,24,8.8,0
"Llanbadarn Fawr North ","Ceredigion ",11.4,17.4,5,34,30,11.7,0
"Borth ","Ceredigion ",13.8,18,10,90,36,12.2,0
"Amroth ","Pembrokeshire ",13.8,20.7,11,152,87,15.1,0
"Burton ","Pembrokeshire ",11,18.8,8,122,55,13.9,0
"Camrose 1 ","Pembrokeshire ",12.8,17.4,7,119,117,14.7,0
"Camrose 2 ","Pembrokeshire ",12.6,19.5,10,106,66,13.3,0
"Carew ","Pembrokeshire ",13.2,17.8,8,107,68,10.1,0
"Cilgerran ","Pembrokeshire ",11.7,19.9,10,111,83,15,0
"Clydau ","Pembrokeshire ",14,19.9,12,134,86,17.6,0
"Crymych 1 ","Pembrokeshire ",14.6,17.6,8,94,91,15,0
"Crymych 2 ","Pembrokeshire ",12.7,18.6,12,94,76,14.1,0
"Dinas Cross ","Pembrokeshire ",10.1,17.4,9,147,99,16.2,0
"East Williamston 1 ","Pembrokeshire ",14.5,20.1,12,172,111,16.8,0
"East Williamston 2 ","Pembrokeshire ",15.1,21.7,13,63,27,18.2,0
"Fishguard North East ","Pembrokeshire ",12.2,19.3,17,112,32,14.5,0
"Fishguard North West ","Pembrokeshire ",14.1,22.5,17,89,26,20.5,0
"Goodwick ","Pembrokeshire ",12.9,21.6,18,116,32,19.6,0
"Haverfordwest: Castle ","Pembrokeshire ",16.2,23.6,22,37,23,17.7,0
"Haverfordwest: Garth 1 ","Pembrokeshire ",13.5,19.1,12,76,62,14.7,0
"Haverfordwest: Garth 2 ","Pembrokeshire ",19.7,29.3,39,42,29,24.9,0
"Haverfordwest: Portfield ","Pembrokeshire ",14.6,21.4,16,34,27,19.3,0
"Haverfordwest: Prendergast ","Pembrokeshire ",13.5,19.3,10,39,26,17.7,0
"Haverfordwest: Priory ","Pembrokeshire ",12.5,18.3,11,36,24,12.4,0
"Hundleton ","Pembrokeshire ",11.5,18.1,9,180,140,11.5,0
"Johnston ","Pembrokeshire ",14.6,21.2,13,63,43,18.5,0
"Kilgetty/Begelly ","Pembrokeshire ",15.2,21.2,14,96,42,17.7,0
"Lampeter Velfrey ","Pembrokeshire ",11.6,19.1,8,155,133,11.4,0
"Lamphey ","Pembrokeshire ",10.1,17.6,10,116,68,11,0
"Letterston ","Pembrokeshire ",11.6,18.2,11,107,66,15.5,0
"Llangwm ","Pembrokeshire ",11.2,18.2,8,99,31,10.5,0
"Llanrhian ","Pembrokeshire ",12.2,17.9,9,116,70,13.8,0
"Maenclochog 1 ","Pembrokeshire ",10.8,18.1,11,180,130,11.6,0
"Maenclochog 2 ","Pembrokeshire ",13.1,18.5,10,119,55,14,0
"Manorbier ","Pembrokeshire ",11.3,20.2,14,73,35,12.4,0
"Martletwy ","Pembrokeshire ",11.2,16.8,7,162,156,11.8,0
"Merlin's Bridge ","Pembrokeshire ",16.3,21.9,22,58,25,19.4,0
"Milford: Central ","Pembrokeshire ",14,20.4,17,36,24,19.1,0
"Milford: East ","Pembrokeshire ",16.9,21.4,25,43,40,20.2,0
"Milford: Hakin 1 ","Pembrokeshire ",14.9,23.6,20,48,28,22.6,0
"Milford: Hakin 2 ","Pembrokeshire ",15.3,21.9,16,64,25,20.2,0
"Milford: Hubberston 1 ","Pembrokeshire ",14.7,20.9,16,72,37,17.8,0
"Milford: Hubberston 2 ","Pembrokeshire ",15.4,27,30,54,24,32.5,0
"Milford: North ","Pembrokeshire ",13,21.8,19,30,28,16.7,0
"Milford: West ","Pembrokeshire ",16.4,25.3,27,65,23,24.3,0
"Narberth ","Pembrokeshire ",13.9,22.1,14,88,34,15.7,0
"Narberth Rural ","Pembrokeshire ",12.9,18,8,102,48,11.4,0
"Newport ","Pembrokeshire ",11.8,19.2,9,89,38,15.2,0
"Neyland: East ","Pembrokeshire ",14.2,22.3,15,61,23,18,0
"Neyland: West ","Pembrokeshire ",13.9,22.7,18,66,46,20.2,0
"Pembroke Dock: Central ","Pembrokeshire ",16.2,26.6,28,43,26,25.5,0
"Pembroke Dock: Llanion 1 ","Pembrokeshire ",16.5,31.8,36,60,26,37,0
"Pembroke Dock: Llanion 2 ","Pembrokeshire ",15.3,23.1,16,54,34,18.8,0
"Pembroke Dock: Market ","Pembrokeshire ",12.7,25.6,17,50,29,17.8,0
"Pembroke Dock: Pennar 1 ","Pembrokeshire ",18.9,23.7,28,52,23,23.1,0
"Pembroke Dock: Pennar 2 ","Pembrokeshire ",13.7,24.8,16,61,23,17.9,0
"Pembroke: Monkton ","Pembrokeshire ",17.3,30.7,37,49,23,32.5,0
"Pembroke: St. Mary North ","Pembrokeshire ",15.8,25.8,25,34,32,26.4,0
"Pembroke: St. Mary South ","Pembrokeshire ",12.6,24.4,18,37,26,17.2,0
"Pembroke: St. Michael ","Pembrokeshire ",11.2,18.9,9,46,29,15.5,0
"Penally ","Pembrokeshire ",13.4,19.1,8,62,50,12.3,0
"Rudbaxton ","Pembrokeshire ",11.4,17.7,7,94,70,11.7,0
"St. David's ","Pembrokeshire ",11.7,20,11,44,38,14.3,0
"St. Dogmaels ","Pembrokeshire ",10.6,18.6,12,105,81,12.2,0
"St. Ishmael's ","Pembrokeshire ",10.3,16.7,9,152,63,13.1,0
"Saundersfoot 1 ","Pembrokeshire ",13.8,18.9,10,55,32,15.7,0
"Saundersfoot 2 ","Pembrokeshire ",13.2,17.6,12,55,26,14.3,0
"Scleddau ","Pembrokeshire ",10.9,19.6,13,137,99,13.6,0
"Solva ","Pembrokeshire ",11.8,17.5,9,101,76,11,0
"Tenby: North ","Pembrokeshire ",12,20.1,10,46,35,14.1,0
"Tenby: South 1 ","Pembrokeshire ",9.7,19.5,15,30,21,13.1,0
"Tenby: South 2 ","Pembrokeshire ",13.7,21,13,25,22,17.8,0
"The Havens ","Pembrokeshire ",10,15,6,113,72,11.5,0
"Wiston ","Pembrokeshire ",11.3,16.1,7,152,85,12.8,0
"Abergwili ","Carmarthenshire ",11.8,19.5,8,131,46,12.9,0
"Ammanford 1 ","Carmarthenshire ",15.8,32.8,22,32,22,25.2,0
"Ammanford 2 ","Carmarthenshire ",16.6,26.7,24,27,22,19.3,0
"Betws ","Carmarthenshire ",11.8,22,13,88,33,17.6,0
"Bigyn 1 ","Carmarthenshire ",15,23.5,11,28,22,14.3,0
"Bigyn 2 ","Carmarthenshire ",14.8,25.3,19,30,22,20.4,0
"Bigyn 3 ","Carmarthenshire ",13.9,25.7,16,22,19,20.1,0
"Bigyn 4 ","Carmarthenshire ",18.7,31.8,35,26,28,35.1,0
"Burry Port 1 ","Carmarthenshire ",11.7,25.2,18,28,25,21,0
"Burry Port 2 ","Carmarthenshire ",14.2,29,22,31,28,27.8,0
"Burry Port 3 ","Carmarthenshire ",12.1,21.7,15,47,36,14.2,0
"Bynea 1 ","Carmarthenshire ",14.9,21.7,10,44,27,12.5,0
"Bynea 2 ","Carmarthenshire ",17.3,28.1,19,47,26,24.6,0
"Carmarthen Town North 1 ","Carmarthenshire ",16.3,26,21,82,22,23.4,0
"Carmarthen Town North 2 ","Carmarthenshire ",17.6,24.2,27,79,25,29.3,0
"Carmarthen Town North 3 ","Carmarthenshire ",15.9,21.3,18,59,21,19.3,0
"Carmarthen Town North 4 ","Carmarthenshire ",10.6,16.6,4,87,29,10.1,0
"Carmarthen Town South 1 ","Carmarthenshire ",14,24.1,20,56,23,18.3,0
"Carmarthen Town South 2 ","Carmarthenshire ",14.2,21.6,9,42,30,12.3,0
"Carmarthen Town West 1 ","Carmarthenshire ",16.2,22,16,44,22,19.1,0
"Carmarthen Town West 2 ","Carmarthenshire ",13.5,21.5,9,98,46,11.8,0
"Carmarthen Town West 3 ","Carmarthenshire ",13.3,20.8,11,50,22,13.7,0
"Cenarth ","Carmarthenshire ",12.5,22.8,16,89,75,16.7,0
"Cilycwm ","Carmarthenshire ",9.3,18.8,10,158,104,16.2,0
"Cynwyl Elfed 1 ","Carmarthenshire ",11.4,20.6,9,164,99,15.5,0
"Cynwyl Elfed 2 ","Carmarthenshire ",12,17.5,7,125,76,10.9,0
"Cynwyl Gaeo ","Carmarthenshire ",12.3,20.7,10,180,180,17.5,0
"Dafen 1 ","Carmarthenshire ",13.1,24.9,12,26,23,15.7,0
"Dafen 2 ","Carmarthenshire ",16.9,27.8,20,23,21,25.8,0
"Elli 1 ","Carmarthenshire ",14.1,22.9,12,30,21,13.3,0
"Elli 2 ","Carmarthenshire ",14.7,26.1,19,34,21,19.8,0
"Felinfoel ","Carmarthenshire ",16.8,28.4,27,30,25,27.7,0
"Garnant ","Carmarthenshire ",15.1,29.1,22,67,27,21.7,0
"Glanamman 1 ","Carmarthenshire ",15.4,29.8,22,51,36,22.1,0
"Glanamman 2 ","Carmarthenshire ",15.3,27.9,19,66,40,21.5,0
"Glanymor 1 ","Carmarthenshire ",16.7,30.6,26,67,45,28.5,0
"Glanymor 2 ","Carmarthenshire ",19.6,30.7,27,68,26,26.4,0
"Glyn (Carmarthenshire) ","Carmarthenshire ",13,25.3,13,97,26,17.6,0
"Gorslas 1 ","Carmarthenshire ",13.6,24.5,13,50,32,14.3,0
"Gorslas 2 ","Carmarthenshire ",15.2,23.7,10,57,46,17.6,0
"Hendy 1 ","Carmarthenshire ",10.8,19.8,7,47,34,11.8,0
"Hendy 2 ","Carmarthenshire ",14,24.2,13,43,27,17,0
"Hengoed (Carmarthenshire) 1 ","Carmarthenshire ",13.7,22.3,11,28,27,14,0
"Kidwelly 1 ","Carmarthenshire ",16.1,30.7,27,61,23,20.7,0
"Kidwelly 2 ","Carmarthenshire ",13.7,25.2,13,86,24,13.8,0
"Laugharne Township 1 ","Carmarthenshire ",14.6,22.2,14,156,66,17.6,0
"Laugharne Township 2 ","Carmarthenshire ",12.7,19.6,12,149,37,18.8,0
"Llanboidy ","Carmarthenshire ",11.3,18.9,8,175,138,17.4,0
"Llanddarog ","Carmarthenshire ",12.8,19.7,8,119,81,13.9,0
"Llandeilo 1 ","Carmarthenshire ",10.9,18.2,7,91,69,10.5,0
"Llandeilo 2 ","Carmarthenshire ",15.7,23.1,20,41,20,16.7,0
"Llandovery 1 ","Carmarthenshire ",12.6,21.3,14,172,71,18.6,0
"Llandovery 2 ","Carmarthenshire ",10.7,19.5,16,164,26,19.5,0
"Llandybie 1 ","Carmarthenshire ",12,19.9,10,54,40,10.9,0
"Llandybie 2 ","Carmarthenshire ",15.6,27.6,20,45,31,23.8,0
"Llanegwad 1 ","Carmarthenshire ",11.2,17,9,160,96,9.3,0
"Llanegwad 2 ","Carmarthenshire ",9.8,18.4,13,169,137,15.2,0
"Llanfihangel Aberbythych ","Carmarthenshire ",11.2,20,9,174,143,13.1,0
"Llanfihangel-ar-Arth 1 ","Carmarthenshire ",12.9,22.3,15,112,56,20.1,0
"Llanfihangel-ar-Arth 2 ","Carmarthenshire ",13.3,20,10,103,50,17.6,0
"Llangadog ","Carmarthenshire ",10.1,17.8,10,150,96,18.8,0
"Llangeler 1 ","Carmarthenshire ",14.3,23.5,21,104,77,17.9,0
"Llangeler 2 ","Carmarthenshire ",12.6,20.5,11,101,62,13.8,0
"Llangennech 1 ","Carmarthenshire ",13,23.7,11,76,50,15.2,0
"Llangennech 2 ","Carmarthenshire ",14.1,24.1,12,45,22,16,0
"Llangennech 3 ","Carmarthenshire ",14.6,25.5,12,46,25,11.6,0
"Llangunnor 1 ","Carmarthenshire ",13.8,22.3,16,92,28,23.6,0
"Llangunnor 2 ","Carmarthenshire ",11.5,18.4,5,108,54,17.8,0
"Llangyndeyrn 1 ","Carmarthenshire ",16.5,27.4,18,95,43,22.3,0
"Llangyndeyrn 2 ","Carmarthenshire ",12.9,23.3,14,78,39,17.7,0
"Llannon 1 ","Carmarthenshire ",15.7,26.4,16,48,22,25.3,0
"Llannon 2 ","Carmarthenshire ",16.4,26.1,14,67,28,22.4,0
"Llannon 3 ","Carmarthenshire ",12.5,22.7,8,68,50,12.6,0
"Llansteffan ","Carmarthenshire ",11.1,20.1,9,106,78,11.5,0
"Llanybydder 1 ","Carmarthenshire ",12.6,20.3,11,118,74,18.6,0
"Llanybydder 2 ","Carmarthenshire ",15.2,22.9,16,71,24,26.1,0
"Lliedi 1 ","Carmarthenshire ",14.8,24.7,21,31,22,20.7,0
"Lliedi 2 ","Carmarthenshire ",12.9,21.3,11,32,26,11.4,0
"Lliedi 3 ","Carmarthenshire ",17.2,27.2,24,32,21,22.1,0
"Llwynhendy 1 ","Carmarthenshire ",18.8,25.5,18,31,26,24.3,0
"Llwynhendy 2 ","Carmarthenshire ",19.7,31.3,29,36,21,35.6,0
"Llwynhendy 3 ","Carmarthenshire ",21.2,34,31,33,23,32.3,0
"Manordeilo and Salem ","Carmarthenshire ",11.2,19.6,10,152,98,14.6,0
"Pembrey 1 ","Carmarthenshire ",11.8,21.7,9,40,29,10.3,0
"Pembrey 2 ","Carmarthenshire ",17.8,28.4,27,33,23,24.3,0
"Penygroes (Carmarthenshire) 1 ","Carmarthenshire ",15.4,25.2,11,54,26,17.5,0
"Penygroes (Carmarthenshire) 2 ","Carmarthenshire ",13.9,26.8,14,52,20,18.6,0
"Pontamman 1 ","Carmarthenshire ",14.4,28.3,21,30,25,22.5,0
"Pontamman 2 ","Carmarthenshire ",11.1,21.3,9,35,28,13.5,0
"Pontyberem 1 ","Carmarthenshire ",14.2,22,9,88,37,15.5,0
"Pontyberem 2 ","Carmarthenshire ",14.4,28,16,60,21,22.5,0
"Quarter Bach 1 ","Carmarthenshire ",16.7,28.3,19,72,26,22.3,0
"Quarter Bach 2 ","Carmarthenshire ",12.6,26.5,14,75,31,18.4,0
"St. Clears 1 ","Carmarthenshire ",14.9,21.9,12,133,46,18.5,0
